# ID M Rvir x y z
50604.000000 5.378302e+12 249.342239 41.722504 81.970451 46.532722 
27622.000000 5.371455e+12 249.357376 15.857883 37.365799 95.453743 
95872.000000 5.363629e+12 249.236221 57.037094 56.916519 39.653790 
146500.000000 5.361673e+12 248.750412 35.383667 33.107880 15.995292 
156680.000000 5.357760e+12 249.130112 15.719903 57.380562 62.448414 
225292.000000 5.350912e+12 249.039093 97.950844 28.401438 62.133266 
104773.000000 5.330369e+12 248.659103 93.360199 50.149651 51.091148 
50663.000000 5.316674e+12 248.491547 42.447372 87.367867 54.916752 
121221.000000 5.313739e+12 248.354279 9.516395 26.263973 34.549892 
95814.000000 5.312761e+12 248.430557 59.071545 49.326202 23.215649 
198346.000000 5.301022e+12 248.262695 71.287842 10.080976 23.538452 
267735.000000 5.295153e+12 248.171036 86.699944 93.755089 97.134712 
27648.000000 5.289284e+12 248.079300 23.225307 47.641762 78.347328 
164264.000000 5.289284e+12 247.972198 43.469986 56.233765 81.582420 
259460.000000 5.289284e+12 248.048706 85.729851 96.983841 69.146042 
1305.000000 5.284393e+12 248.002808 4.663757 4.084524 19.800583 
190283.000000 5.263850e+12 246.772461 43.352306 75.291161 91.249596 
198484.000000 5.258959e+12 247.404541 59.682457 10.876575 43.091244 
1317.000000 5.255045e+12 246.106049 36.176655 25.762125 18.915442 
78238.000000 5.255045e+12 247.527512 56.382008 45.430138 36.960724 
95887.000000 5.253089e+12 247.512146 87.584961 57.061726 31.692883 
95624.000000 5.244285e+12 247.065781 49.599667 70.184624 36.124050 
146769.000000 5.242328e+12 247.343018 12.359065 41.362446 16.255236 
232924.000000 5.227655e+12 246.911499 68.410828 32.685234 75.596466 
208148.000000 5.226677e+12 247.034943 94.646080 0.284440 62.356194 
190296.000000 5.214938e+12 246.865173 44.522320 88.067955 84.158173 
249995.000000 5.214938e+12 246.059433 53.146049 82.910095 37.311642 
60207.000000 5.209069e+12 246.818832 59.196339 15.010209 21.008974 
78252.000000 5.207112e+12 246.757004 57.333645 44.733654 44.668602 
19704.000000 5.203199e+12 244.856522 40.201691 38.667564 74.152931 
198364.000000 5.203199e+12 246.617813 86.539459 9.230304 38.830669 
198378.000000 5.167983e+12 246.074966 61.616322 4.805853 48.928097 
1254.000000 5.167005e+12 246.106049 32.931671 26.104719 14.402034 
104678.000000 5.136680e+12 243.625839 50.904980 54.230270 50.950630 
208050.000000 5.136680e+12 245.670166 97.468071 15.419534 54.515465 
172787.000000 5.134723e+12 244.542145 35.033474 74.657402 31.362980 
68908.000000 5.134723e+12 245.451645 61.245827 12.597299 97.697929 
